artist_id,name,artist_url
4847-avarus,Avarus,/artists/4847-avarus/
33420-pinegrove,Pinegrove,/artists/33420-pinegrove/
2438-le-tigre,Le Tigre,/artists/2438-le-tigre/
4158-paul-simon,Paul Simon,/artists/4158-paul-simon/
4117-alina-simone,Alina Simone,/artists/4117-alina-simone/
31210-pharmakon,Pharmakon,/artists/31210-pharmakon/
2256-kaada,Kaada,/artists/2256-kaada/
lo-tom,Lo Tom,/artists/lo-tom/
2207-grace-jones,Grace Jones,/artists/2207-grace-jones/
409-blur,Blur,/artists/409-blur/
31634-nothing,Nothing,/artists/31634-nothing/
10147-wale,Wale,/artists/10147-wale/
33856-wolfgang-tillmans,Wolfgang Tillmans,/artists/33856-wolfgang-tillmans/
31448-powell,Powell,/artists/31448-powell/
2238-jesu,Jesu,/artists/2238-jesu/
nabihah-iqbal,Nabihah Iqbal,/artists/nabihah-iqbal/
29812-kendrick-lamar,Kendrick Lamar,/artists/29812-kendrick-lamar/
34218-fire-toolz,Fire-Toolz,/artists/34218-fire-toolz/
various-various-artists,Various Artists,
6794-chris-corsano,Chris Corsano,/artists/6794-chris-corsano/
29205-bill-orcutt,Bill Orcutt,/artists/29205-bill-orcutt/
3960-ken-stringfellow,Ken Stringfellow,/artists/3960-ken-stringfellow/
33836-j-balvin,J Balvin,/artists/33836-j-balvin/
dominic-fike,Dominic Fike,/artists/dominic-fike/
5376-pumice,Pumice,/artists/5376-pumice/
kevin-richard-martin,Kevin Richard Martin,/artists/kevin-richard-martin/
3051-the-no-nos,The No-No's,/artists/3051-the-no-nos/
lil-baby,Lil Baby,/artists/lil-baby/
30216-lil-durk,Lil Durk,/artists/30216-lil-durk/
27451-fight-bite,Fight Bite,/artists/27451-fight-bite/
colter-wall,Colter Wall,/artists/colter-wall/
5744-clear-tigers,Clear Tigers,/artists/5744-clear-tigers/
2860-mudhoney,Mudhoney,/artists/2860-mudhoney/
608-buckshot,Buckshot,/artists/608-buckshot/
3170-orbital,Orbital,/artists/3170-orbital/
28863-nils-frahm,Nils Frahm,/artists/28863-nils-frahm/
1822-guns-n-roses,Guns N’ Roses,/artists/1822-guns-n-roses/
6491-david-yow,David Yow,/artists/6491-david-yow/
emily-a-sprague,Emily A. Sprague,/artists/emily-a-sprague/
33870-kassem-mosse,Kassem Mosse,/artists/33870-kassem-mosse/
22974-october-falls,October Falls,/artists/22974-october-falls/
1214-vladislav-delay,Vladislav Delay,/artists/1214-vladislav-delay/
5303-bonde-do-role,Bonde Do Rolê,/artists/5303-bonde-do-role/
pavel-milyakov,Pavel Milyakov,/artists/pavel-milyakov/
779-clinic,Clinic,/artists/779-clinic/
31080-classixx,Classixx,/artists/31080-classixx/
2233-john-wilkes-booze,John Wilkes Booze,/artists/2233-john-wilkes-booze/
30336-2-chainz,2 Chainz,/artists/30336-2-chainz/
4990-the-horrors,The Horrors,/artists/4990-the-horrors/
32045-ex-hex,Ex Hex,/artists/32045-ex-hex/
27726-martyn,Martyn,/artists/27726-martyn/
1039-death-cab-for-cutie,Death Cab for Cutie,/artists/1039-death-cab-for-cutie/
polo-g,Polo G,/artists/polo-g/
7874-dear-nora,Dear Nora,/artists/7874-dear-nora/
5021-swan-lake,Swan Lake,/artists/5021-swan-lake/
4271-town-and-country,Town and Country,/artists/4271-town-and-country/
chiko-aoba,Ichiko Aoba,/artists/ichiko-aoba/
3272-pearl-jam,Pearl Jam,/artists/3272-pearl-jam/
la-femme,La Femme,/artists/la-femme/
28083-dam-funk,DāM-FunK,/artists/28083-dam-funk/
5389-eric-copeland,Eric Copeland,/artists/5389-eric-copeland/
1534-foo-fighters,Foo Fighters,/artists/1534-foo-fighters/
31543-helen-marnie,Helen Marnie,/artists/31543-helen-marnie/
4008-swans,Swans,/artists/4008-swans/
30509-debo-band,Debo Band,/artists/30509-debo-band/
