review_url,author
/reviews/albums/9232-vesikansi/,Matthew Murphy
/reviews/albums/22823-elsewhere/,Sam Sodomsky
/reviews/albums/4703-le-tigre/,Kristin Sage Rockermann
/reviews/albums/21978-stranger-to-stranger/,Mike Powell
/reviews/albums/11996-everyone-is-crying-out-to-me-beware/,Joshua Klein
/reviews/albums/22974-contact/,Marc Masters
/reviews/albums/4373-thank-you-for-giving-me-your-valuable-time/,Andy Beta
/reviews/albums/lo-tom-lo-tom/,Ian Cohen
/reviews/albums/19222-grace-jones-nightclubbing-deluxe-edition/,Andy Beta
/reviews/albums/830-the-best-of-blur/,Rich Juzwiak
/reviews/albums/19071-nothing-guilty-of-everything/,Ian Cohen
/reviews/albums/13695-attention-deficit/,Sean Fennessey
/reviews/albums/wolfgang-tillmans-powell-spoken-by-the-other-ep/,Steven Arroyo
/reviews/albums/4353-silver-ep/,Brandon Stosuy
/reviews/albums/nabihah-iqbal-weighing-of-the-heart/,Ben Cardew
/reviews/albums/21705-untitled-unmastered/,kris ex
/reviews/albums/22897-drip-mental/,Zoe Camp
/reviews/albums/9598-serious-times/,Jess Harvell
/reviews/albums/18114-chris-corsano-bill-orcutt-the-raw-and-the-cooked/,Marc Masters
/reviews/albums/7535-touched/,Joe Tangari
/reviews/albums/j-balvin-vibras/,Matthew Ismael Ruiz
/reviews/albums/dominic-fike-what-could-possibly-go-wrong/,Dani Blum
/reviews/albums/10481-pebbles/,Marc Masters
/reviews/albums/kevin-richard-martin-sirens/,Ben Cardew
/reviews/albums/5821-let-your-shadow-out/,Alison Fields
/reviews/albums/17799-way-to-blue-the-songs-of-nick-drake/,Stephen M. Deusner
/reviews/albums/lil-baby-lil-durk-the-voice-of-the-heroes/,Paul A. Thompson
/reviews/albums/12672-emerald-eyes/,Rebecca Raber
/reviews/albums/colter-wall-western-swing-and-waltzes-and-other-punchy-songs/,Amanda Wicks
/reviews/albums/11443-brutal/,Amy Granzin
/reviews/albums/11680-superfuzz-bigmuff-deluxe-editionthe-lucky-ones/,Marc Masters
/reviews/albums/11497-the-formula/,Evan McGarvey
/reviews/albums/orbital-monsters-exist/,Larry Fitzmaurice
/reviews/albums/nils-frahm-old-friends-new-friends/,Vanessa Ague
/reviews/albums/12469-chinese-democracy/,Ian Cohen
/reviews/albums/18209-david-yow-tonight-you-look-like-a-spider/,Nick Neyland
/reviews/albums/emily-a-sprague-water-memory-mount-vision/,Mark Richardson
/reviews/albums/22528-disclosure/,Philip Sherburne
/reviews/albums/19833-various-artists-master-mix-red-hot-arthur-russell/,Douglas Wolk
/reviews/albums/17605-october-falls-the-plague-of-a-coming-age/,Kim Kelly
/reviews/albums/2558-demon-tracks/,Nick Sylvester
/reviews/albums/16761-tropicalbacanal/,Jess Harvell
/reviews/albums/pavel-milyakov-buttechno-la-maison-de-la-mortminimal-cuts-ep/,Andy Beta
/reviews/albums/17762-clinic-free-reign-ii/,Stuart Berman
/reviews/albums/21947-faraway-reach/,Renato Pagnani
/reviews/albums/4344-five-pillars-of-soul/,Jonathan Zwickel
/reviews/albums/2-chainz-rap-or-go-to-the-league/,Sheldon Pearce
/reviews/albums/12998-primary-colours/,Stuart Berman
